Type,Name,WorkProduct,Owner,Priority,Package,Risk,Description,Notes,Objective,PreConditions,PostConditions,ValidationInput,ValidationExpectedResult,TestFolder,StepInput,StepExpectedResult,Build,DateRun,Verdict,Duration
TestCase,Default Shipping - Ground,"",tara@acme.com,Useful,Shipping,Low,,<br>,,,,,,Checkout//,,,,,,
Result,,,tara@acme.com,,,,,,,,,,,,,117,2009-07-21T05:10:39.000Z,Fail,0,
Result,,,tara@acme.com,,,,,,,,,,,,,118,2009-07-22T05:10:39.000Z,Fail,0,
TestCase,Priority Shipping GUI,"",tara@acme.com,Critical,Shipping,Low,,<br>,,,,,,Fulfillment//,,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:38.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:38.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:38.000Z,Pass,0,
TestCase,Invalid Promo Code,"",tara@acme.com,Useful,Shopping,Low,,<br>,,,,,,Checkout//,,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:40.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:41.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:41.000Z,Fail,0,
TestCase,Promo Code GUI,"",tom@acme.com,Important,Shopping,Low,,<br>,,,,,,Checkout//,,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:40.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:40.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:40.000Z,Fail,0,
TestCase,One Promo Code per order,"",tara@acme.com,Important,Shopping,Low,,<br>,,,,,,"",,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:41.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:41.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:41.000Z,Fail,0,
TestCase,GUI - Multi-Site Shipping Options,"",tony@acme.com,Critical,Shipping,Low,,<br>,,,,,,"",,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:43.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:43.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:43.000Z,Fail,0,
TestCase,Max Number of Shipping Destinations,"",,Useful,Shipping,Low,,<br>,,,,,,"",,,,,,
Result,,,,,,,,,,,,,,,,113,2009-07-20T05:10:42.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,114,2009-07-21T05:10:42.000Z,Pass,0,
Result,,,,,,,,,,,,,,,,115,2009-07-22T05:10:42.000Z,Fail,0,
TestCase,Priority Shipping Options for each Destination,"",tara@acme.com,Critical,Shipping,Low,,<br>,,,,,,"",,,,,,
Result,,,tara@acme.com,,,,,,,,,,,,,117,2009-07-22T05:10:42.000Z,Pass,0,
Result,,,tara@acme.com,,,,,,,,,,,,,118,2009-07-23T05:10:42.000Z,Pass,0,
